id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
5DIVWgTeJ2fPIxaY9e7ZKn,I've Got A Crush On You,Ella Fitzgerald,196440,1950-09-11,1950,0.986,0.455,0.106,0.0,0.122,-14.086,0.0422,66.807,0.258,1,2,56,False,"adult standards, jazz, jazz blues, soul, swing, vocal jazz"
5f78L5buph5GtBFcCYI0cx,Amor de Cabaret,La Sonora Santanera,173933,1950,1950,0.907,0.542,0.212,0.007,0.125,-19.544,0.0331,101.37,0.623,1,8,46,False,"bolero, bolero mexicano, tropical"
2bBwi0SQowI6sCQyptjJ4U,Ain't Got No Home,Clarence,141933,1950-12-21,1950,0.688,0.767,0.43,0.293,0.0781,-8.039,0.0852,168.789,0.963,1,0,27,False,
2wyifZXEC0Z4HNKlQnyroD,Always Late (With Your Kisses),Lefty Frizzell,191360,1950,1950,0.781,0.763,0.262,4.98e-06,0.229,-9.726,0.0297,117.043,0.623,1,9,27,False,"arkansas country, classic country pop, honky tonk, traditional country, western swing"
5RcvlmVx2xtFcp2Ta5pw7X,Someone To Watch Over Me,Ella Fitzgerald,196666,1950-09-11,1950,0.99,0.354,0.0851,4.49e-06,0.123,-13.738,0.0345,97.684,0.197,1,7,51,False,"adult standards, jazz, jazz blues, soul, swing, vocal jazz"
3XQ2ZGDLsNVzypE5UMFsIF,Always Late (With Your Kisses),Lefty Frizzell,184040,1950,1950,0.842,0.776,0.198,0.0,0.35,-11.406,0.0318,117.755,0.567,1,9,23,False,"arkansas country, classic country pop, honky tonk, traditional country, western swing"
0T3UzpGaq9SQyyjj9X5Hm1,Ataypura!,Yma Sumac,184266,1950-01-01,1950,0.826,0.264,0.389,0.705,0.115,-15.307,0.0809,81.798,0.291,1,2,30,False,"exotica, lounge, space age pop"
7LQhQy14kruDULvKmiL5LM,All My Love,Patti Page,194480,1950-09-01,1950,0.884,0.673,0.189,0.0,0.126,-14.072,0.0458,124.978,0.666,1,8,26,False,"adult standards, easy listening"
56xq9OiEcvefJfXcnujbS6,Anna,Tony Mottola y Su Orquesta,126546,1950-05-26,1950,0.0766,0.722,0.546,9.12e-05,0.0524,-9.741,0.0382,114.751,0.964,1,7,29,False,"easy listening, man's orchestra"
2BMorWMRsJPc1hEstsFKRU,I'll Remember April,George Shearing,166640,1950-01-01,1950,0.988,0.551,0.112,0.884,0.121,-23.167,0.0383,126.778,0.659,1,0,40,False,"cool jazz, jazz piano"
5cq1YeivEmtmbjCMVHD8DD,"Arrivederci, Roma",Tony Mottola y Su Orquesta,212453,1950-05-26,1950,0.952,0.642,0.315,0.888,0.392,-13.019,0.0286,104.056,0.596,1,7,26,False,"easy listening, man's orchestra"
