id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
1Ic9pKxGSJGM0LKeqf6lGe,All Apologies,Nirvana,233173,1993-09-21,1993,0.0793,0.446,0.632,0.000266,0.0881,-12.197,0.034,113.176,0.359,1.0,1.0,73,False,"grunge, permanent wave, rock"
3ZpQiJ78LKINrW9SQTgbXd,All I Wanna Do,Sheryl Crow,272106,1993-08-03,1993,0.107,0.82,0.528,0.0188,0.257,-11.18,0.032,120.089,0.926,1.0,9.0,70,False,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter"
45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,Lenny Kravitz,211933,1993-03-09,1993,0.00165,0.619,0.67,0.0109,0.331,-10.322,0.0353,129.269,0.777,0.0,11.0,73,False,"permanent wave, rock"
3FKDvQRZImg9cl1jcaQiHX,Acepto Mi Derrota,Los Bukis,248560,1993-01-01,1993,0.068,0.633,0.461,0.0,0.13,-11.208,0.0294,144.51,0.26,1.0,9.0,73,False,"grupera, gruperas inmortales, musica mexicana"
6kWJvPfC4DgUpRsXKNa9z9,All That She Wants,Ace of Base,211213,1993-12-24,1993,0.00547,0.798,0.625,7.98e-05,0.103,-9.689,0.0548,93.764,0.858,1.0,11.0,76,False,"eurodance, europop, new wave pop"
1Mew3ipJFmRpSj83LRyxod,Alibis,Tracy Lawrence,182960,1993,1993,0.437,0.61,0.31,0.0,0.22,-14.391,0.0262,107.525,0.381,1.0,4.0,61,False,"arkansas country, contemporary country, country, country road"
4Hmuqk2w1fGqwpMP04aDUu,Amor Prohibido,Grupo Bryndis,229653,1993-01-01,1993,0.337,0.724,0.777,0.00162,0.314,-6.036,0.0446,163.903,0.909,1.0,2.0,71,False,"banda, grupera, gruperas inmortales, grupero romantico, musica mexicana, norteno"
3b9Bqkzowq1XW7gflD48xe,All Right Now,Free,334333,1993-01-01,1993,0.0768,0.773,0.407,1.77e-06,0.08,-15.039,0.0752,119.829,0.775,1.0,2.0,60,False,"album rock, blues rock, british blues, classic rock, hard rock"
3g1mP8c79KbkWDhED5tyKZ,Ain’t No Fun (If The Homies Can’t Have None),"Snoop Dogg, Nate Dogg, Warren G, Kurupt",246400,1993-11-23,1993,0.133,0.856,0.722,0.000485,0.168,-6.124,0.076,100.192,0.719,0.0,5.0,64,True,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
6ab5dRx0VtGzMjUejMFI9u,Alma Enamorada,"Chalino Sanchez, Banda Brava",172512,1993-04-14,1993,0.784,0.647,0.394,0.0,0.09,-8.965,0.145,82.93,0.981,1.0,5.0,65,False,"banda, corrido, corridos clasicos, musica mexicana, norteno, sierreno"
