id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
25leEEaz1gIpp7o21Fqyjo,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,150266,1947,1947,0.799,0.834,0.371,0.0,0.275,-11.99,0.0358,96.628,0.976,1.0,1.0,54,False,"classic oklahoma country, cowboy western, traditional country, yodeling"
4aD3d9kzxY8MXAssMQ3c6v,Ain't Nobody's Business,Jimmy Whiterspoon,218053,1947-04-22,1947,0.814,0.495,0.258,0.0677,0.0916,-16.235,0.0366,92.434,0.0767,1.0,8.0,19,False,
4U6LZij0Gv4qV4t8PphSVu,Dark As A Dungeon,Merle Travis,167600,1947,1947,0.87,0.644,0.163,0.0,0.226,-11.035,0.0839,147.498,0.57,1.0,9.0,30,False,western swing
1dtIaSlyrLI04sqYa8nLyN,Rudolph the Red-Nosed Reindeer,Gene Autry,186733,1947,1947,0.883,0.629,0.159,0.0,0.222,-14.056,0.0495,142.157,0.642,1.0,8.0,46,False,"classic oklahoma country, cowboy western, traditional country, yodeling"
33vIIwfMDRoJwlizrQu8tM,Relax and Mambo,Machito,189520,1947-05-12,1947,0.881,0.688,0.398,0.434,0.0804,-11.922,0.0472,123.378,0.442,0.0,10.0,32,False,"jazz cubano, latin jazz, mambo, musica tradicional cubana"
29IMI6fkpGjObZrTRlN1bL,Don't Get Around Much Anymore,Hampton Hawes,152266,1947-05-12,1947,0.962,0.619,0.256,0.903,0.108,-14.034,0.0949,140.376,0.814,1.0,0.0,31,False,"hard bop, jazz piano"
3i8j2dKXChkErfi8jsDDuH,Frosty the Snowman (with The Cass County Boys) - 78rpm Version,"Gene Autry, Cass County Boys",173493,1947,1947,0.847,0.677,0.241,0.0,0.0523,-11.133,0.0407,172.315,0.963,1.0,8.0,36,False,"classic oklahoma country, cowboy western, traditional country, yodeling"
3Bq9iWWQibaH9yjA0dfAwI,Sin un Amor,Los Panchos,186893,1947-02-17,1947,0.557,0.628,0.613,0.0,0.0744,-5.776,0.0282,107.738,0.655,0.0,5.0,23,False,"bolero, bolero mexicano, ranchera"
4alUHNz5SiX3h4ML2ZebSp,Up On The House Top (Ho Ho Ho) (with Carl Cotner's Orchestra),"Gene Autry, Carl Cotner's Orchestra",169533,1947,1947,0.928,0.743,0.19,0.0,0.117,-11.686,0.073,159.894,0.954,1.0,1.0,34,False,"classic oklahoma country, cowboy western, traditional country, yodeling"
1OYpYoZRkB0K2bGYWJYvRj,Afsana Likh Rahi Hoon,Uma Devi,166426,1947-12-31,1947,0.901,0.529,0.317,5.22e-06,0.0939,-11.205,0.164,78.791,0.728,1.0,3.0,13,False,classic bollywood
