id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,290616,2017-06-09,2017,0.0205,0.369,0.468,0.566,0.109,-9.013,0.0273,94.434,0.18,1.0,5.0,88,False,"ambient pop, dream pop, el paso indie, shoegaze"
2S2od3hT7ceytw7d1pTRuE,Again (feat. XXXTENTACION),"Noah Cyrus, XXXTENTACION",193961,2017-09-22,2017,0.188,0.664,0.738,5.75e-05,0.135,-4.095,0.0338,119.973,0.203,0.0,9.0,80,False,"alt z, pop"
7qH9Z4dJEN0l9bidizW7fq,Anchor,Novo Amor,257533,2017-05-26,2017,0.805,0.457,0.407,0.884,0.126,-11.475,0.0308,117.053,0.126,1.0,9.0,78,False,"ambient folk, indie folk"
63bmZnBN1CiJ9sA4qTEe8y,Adiós Amor,Christian Nodal,199320,2017-08-25,2017,0.169,0.433,0.431,0.0,0.307,-6.422,0.0367,177.732,0.722,1.0,2.0,75,False,"mariachi, musica mexicana, ranchera"
0RoA7ObU6phWpqhlC9zH4Z,A Million Dreams,"Ziv Zaifman, Hugh Jackman, Michelle Williams",269453,2017-12-08,2017,0.243,0.265,0.312,0.0,0.0893,-11.689,0.0569,54.747,0.0998,1.0,7.0,74,False,show tunes
3UcyaCWLsc0XDhzXHUuH1S,Audubon,$uicideboy$,134962,2017-05-26,2017,0.154,0.768,0.785,1.24e-05,0.779,-5.057,0.332,169.029,0.698,1.0,1.0,67,True,"cloud rap, dark trap, new orleans rap, underground hip hop"
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",180386,2017-07-21,2017,0.371,0.558,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,0.62,1.0,6.0,89,True,"hip hop, rap"
1pkMzGqBBS10nDiiYrNGGJ,A Ella,KAROL G,198906,2017-10-27,2017,0.242,0.735,0.759,1.96e-05,0.15,-5.354,0.193,181.902,0.598,1.0,2.0,77,False,"reggaeton, reggaeton colombiano, urbano latino"
1XXl9pl7ObojHbyJetY75n,A Simple Song,Chris Stapleton,216013,2017-12-01,2017,0.87,0.611,0.198,0.000432,0.109,-16.525,0.0285,77.301,0.412,1.0,5.0,66,False,"contemporary country, outlaw country"
6aD0Es1eyfVqpYZKJm9WkC,Asshole,Mike Sherm,160713,2017-01-27,2017,0.328,0.783,0.598,0.0,0.118,-10.59,0.292,97.011,0.452,1.0,10.0,63,True,cali rap
66pxmg3Jhjm09tHoWR1wVR,All the Pretty Girls,Kenny Chesney,212893,2017-04-28,2017,0.00916,0.612,0.848,0.0,0.366,-3.736,0.0368,120.996,0.719,1.0,6.0,64,False,"contemporary country, country, country road"
55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",247160,2017-11-09,2017,0.059,0.73,0.444,1.8e-05,0.14,-8.418,0.0538,117.979,0.106,1.0,0.0,80,False,"pop, uk pop"
59wlTaYOL5tDUgXnbBQ3my,A Moment Apart,ODESZA,234244,2017-09-08,2017,0.172,0.406,0.665,0.693,0.492,-7.903,0.0352,119.988,0.0758,0.0,7.0,65,False,"chillwave, edm, indietronica"
4JE6agBLHGA5TaF6FlqfBD,As the World Caves In,Matt Maltese,218754,2017-03-06,2017,0.365,0.331,0.45,0.00464,0.22,-5.362,0.034,123.829,0.18,1.0,10.0,67,False,"indie anthem-folk, indie pop, pov: indie"
4svZDCRz4cJoneBpjpx8DJ,I Did Something Bad,Taylor Swift,238253,2017-11-10,2017,0.0679,0.696,0.602,2.11e-05,0.0696,-6.156,0.159,82.989,0.305,0.0,0.0,75,False,pop
