id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
2TeEhtmhMQmUyQJhnJNvAs,Animals - 2020 Remaster,Nickelback,186586,2005,2005,0.000613,0.593,0.957,0.0287,0.219,-3.045,0.0499,154.019,0.802,1,7,73,False,"alternative metal, canadian rock, post-grunge"
7G6l2FtQyRhQgYgut2I6i8,As Good As I Once Was,Toby Keith,227840,2005-01-01,2005,0.266,0.68,0.87,0.0,0.109,-4.461,0.0393,119.078,0.645,1,5,71,False,"classic oklahoma country, contemporary country, country, country road"
3rjM7GhxdVq1YySsHBs21i,Animals,Nickelback,186600,2005-09-26,2005,0.000734,0.572,0.961,0.021,0.207,-3.089,0.0625,76.998,0.818,1,7,63,False,"alternative metal, canadian rock, post-grunge"
1q8NdCAQ9QUjpYiqzdd3mv,Atrévete-Te-Te,Calle 13,239306,2005,2005,0.0959,0.829,0.878,0.0,0.776,-5.951,0.101,87.991,0.883,1,9,73,True,"latin afrobeat, latin alternative, latin hip hop, latin rock, puerto rican rock, rap conciencia, reggaeton, rock en espanol"
4ZeLTFjHBC4ZyH4owJPH0Q,Amarillo Sky,Jason Aldean,202546,2005-07-26,2005,0.314,0.493,0.777,0.0,0.146,-3.887,0.0392,154.99,0.429,1,2,60,False,"contemporary country, country, country road, modern country rock"
4pmU8AtVu9qU40Xd9zjEfA,"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,169026,2005-05-03,2005,0.00704,0.538,0.889,0.0,0.312,-3.586,0.0596,133.044,0.696,1,7,63,False,"emo, modern rock, pop, rock"
2l57cfmCnOkwNX1tky02n1,Move Along,The All-American Rejects,238880,2005-01-01,2005,0.000148,0.518,0.916,0.0,0.291,-3.858,0.0454,109.864,0.646,1,3,69,False,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
4s8r4lbbUXF3xFdEXWgTrs,Angelito,Aventura,293146,2005-04-26,2005,0.577,0.838,0.635,0.0,0.0603,-6.555,0.0328,130.086,0.948,0,5,69,False,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino"
0Bo5fjMtTfCD8vHGebivqc,Axel F,Crazy Frog,171739,2005-08-01,2005,0.288,0.842,0.927,0.653,0.0972,-1.496,0.0439,138.004,0.866,1,2,69,False,
3BwabPHcwg7jotkO7YOcJ2,A chillar a otra parte,Pesado,200560,2005-09-20,2005,0.214,0.466,0.768,0.0,0.0792,-7.267,0.106,168.446,0.943,1,0,70,False,"banda, musica mexicana, norteno"
16c6awlmGfeusU7zoVu5yc,Aquel Lugar,Adolescent's Orquesta,231410,2005-03-20,2005,0.37,0.75,0.64,0.0,0.122,-4.537,0.0365,92.038,0.645,0,4,71,False,"salsa, salsa venezolana, tropical"
0lHSJ0ZP8uUPnJXhMdGjOK,Attack,Thirty Seconds To Mars,188186,2005-01-01,2005,0.00332,0.333,0.877,0.00101,0.769,-1.894,0.0603,175.095,0.285,0,5,63,False,"modern rock, post-grunge"
4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies,Panic! At The Disco,186634,2005-09-27,2005,0.0807,0.569,0.83,0.0,0.114,-4.106,0.14,170.094,0.609,0,9,72,False,pop
0lP4HYLmvowOKdsQ7CVkuq,The Kill,Thirty Seconds To Mars,231533,2005-01-01,2005,0.0014,0.179,0.912,0.000294,0.582,-3.881,0.0791,182.99,0.289,0,4,78,False,"modern rock, post-grunge"
5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,The All-American Rejects,193653,2005-01-01,2005,0.000346,0.465,0.954,5.38e-06,0.573,-4.251,0.044,143.85,0.458,1,10,71,False,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,Plain White T's,232533,2005-01-01,2005,0.872,0.658,0.291,0.0,0.114,-10.572,0.0292,103.962,0.295,1,2,77,False,"modern rock, neo mellow, neon pop punk, pop punk, pop rock"
5VzeI5JM2y9t21JwrWAnkH,Addiction,Kanye West,267066,2005-08-30,2005,0.184,0.504,0.756,0.0,0.252,-8.318,0.185,115.264,0.55,0,1,58,True,"chicago rap, hip hop, rap"
4nva9EpKntUTs6CRSGBCn9,Just A Lil Bit,50 Cent,237706,2005-03-03,2005,0.0322,0.489,0.692,0.00608,0.315,-6.672,0.41,96.946,0.527,1,1,77,True,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
5l6hpyTGBK0LAAxgPnqTQL,Look After You,The Fray,266773,2005-09-13,2005,0.0575,0.447,0.592,4.47e-06,0.13,-3.015,0.0319,78.039,0.283,0,6,75,False,"neo mellow, piano rock, pop, pop rock"
0815caqt2Lytro5EIzMufT,You And Me,Lifehouse,195493,2005-03-22,2005,0.114,0.459,0.427,0.0,0.168,-7.734,0.0267,139.902,0.354,1,7,75,False,"neo mellow, pop rock, post-grunge"
