id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
55jK8fCt64r57v5dhyC5Bc,All of Me,Django Reinhardt,167573,1941-01-27,1941,0.789,0.702,0.231,0.927,0.0775,-11.822,0.179,185.509,0.923,0,9,29,False,"french jazz, gypsy jazz, jazz, jazz guitar, swing"
4ejf5eNPwEMjmN92vgArBz,That's All Right,"Arthur ""Big Boy"" Crudup",144613,1941-05-20,1941,0.602,0.662,0.172,0.0,0.115,-16.877,0.0675,92.821,0.755,1,10,30,False,"acoustic blues, blues, chicago blues, delta blues, traditional blues"
1v7LjSWgk4OcgTNknKirlf,A la Gran Muñeca,Carlos Di Sarli,164813,1941-11-26,1941,0.933,0.364,0.399,0.898,0.333,-7.062,0.0494,58.399,0.475,0,9,30,False,"tango, tango cancion, vintage tango"
0eOZwXGRvXjTsc2qwGiKBu,Dig Myself a Hole,"Arthur ""Big Boy"" Crudup",143506,1941-05-20,1941,0.726,0.696,0.174,0.0,0.116,-17.566,0.0909,94.043,0.644,1,10,30,False,"acoustic blues, blues, chicago blues, delta blues, traditional blues"
3jVWI6YIWlSzasdU4C9Qa5,Anniversary Song,Django Reinhardt,211253,1941-01-27,1941,0.912,0.768,0.155,0.842,0.104,-16.34,0.0714,102.043,0.716,1,5,17,False,"french jazz, gypsy jazz, jazz, jazz guitar, swing"
4df2jcqya5Fkgr84qlNcjV,We'll Meet Again,Benny Goodman,197440,1941,1941,0.931,0.727,0.236,0.0161,0.114,-11.003,0.0288,132.163,0.465,0,9,29,False,"adult standards, big band, dixieland, jazz, jazz clarinet, swing, vintage jazz, vocal jazz"
12LedD0MvtCtmVIsCAQlpC,Rock Me Mama,"Arthur ""Big Boy"" Crudup",149613,1941-05-20,1941,0.957,0.672,0.327,0.154,0.111,-11.932,0.0679,68.078,0.433,0,5,27,False,"acoustic blues, blues, chicago blues, delta blues, traditional blues"
65BebTSTem3wYvDbChkci4,All I Need Is You,Peggy Lee,201533,1941,1941,0.962,0.407,0.119,0.00713,0.122,-14.228,0.0293,74.806,0.235,1,0,8,False,"adult standards, torch song, vocal jazz"
1brE6xgs9smGjUy8p6f7km,Mean Ol' Frisco,"Arthur ""Big Boy"" Crudup",157960,1941-05-20,1941,0.964,0.596,0.507,0.606,0.107,-11.332,0.0489,98.142,0.562,0,5,23,False,"acoustic blues, blues, chicago blues, delta blues, traditional blues"
5fXfbSza05rtAhZzlHtmPC,Al Compás del Corazón,Carlos Di Sarli,208933,1941-11-26,1941,0.866,0.573,0.247,0.00128,0.0776,-10.729,0.0368,117.492,0.494,1,2,18,False,"tango, tango cancion, vintage tango"
5PR2tQFqVld8evcbseqAc2,Alexander'S Ragtime Band,Wingy Manone,138213,1941-12-03,1941,0.529,0.643,0.402,0.747,0.0577,-13.983,0.0502,175.449,0.883,0,7,12,False,"jazz trumpet, new orleans jazz"
5BG8HbbYfAXf4rRy2lSM5N,My Mama Don't Allow Me,"Arthur ""Big Boy"" Crudup",190066,1941-05-20,1941,0.993,0.624,0.18,0.000755,0.113,-10.557,0.0374,91.157,0.476,1,2,19,False,"acoustic blues, blues, chicago blues, delta blues, traditional blues"
2QZL7w3U6EhInvB5cP03zL,El Amanecer,Carlos Di Sarli,141013,1941-11-26,1941,0.919,0.63,0.494,0.859,0.129,-7.418,0.0426,125.837,0.721,1,1,27,False,"tango, tango cancion, vintage tango"
6Ksgm4qYMLlgisGBX7r60f,Ain't It a Shame About Mame?,Wingy Manone,184893,1941-12-03,1941,0.913,0.774,0.404,0.0277,0.12,-10.579,0.0373,99.302,0.883,0,0,10,False,"jazz trumpet, new orleans jazz"
1zZTV4R3LgZqNSh5RNz9g1,Nada,"Carlos Di Sarli, Alberto Podestá",163880,1941-11-26,1941,0.983,0.561,0.47,0.172,0.603,-6.434,0.0463,120.449,0.583,1,0,28,False,"tango, tango cancion, vintage tango"
2ATytP6H742BC6piy8jHvG,"Piano Trio in B-Flat Major, Op. 97: I. Allegro moderato - 1999 Remastered Version","Ludwig van Beethoven, Emanuel Feuermann, Arthur Rubinstein, Jascha Heifetz",705320,1941,1941,0.992,0.346,0.139,0.836,0.269,-17.744,0.0389,132.492,0.155,1,10,20,False,"classical, classical era, early romantic era, german romanticism"
