id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
3BFRqZFLSrqtQr6cjHbAxU,Ain't Misbehavin',Fats Waller,237773,1926,1926,0.821,0.515,0.222,0.00193,0.19,-16.918,0.0575,98.358,0.35,0,0,48,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
2nMIbw9NAjPGzkZa7c8Bre,All That Meat And No Potatoes,Fats Waller,165573,1926,1926,0.722,0.85,0.113,1.82e-06,0.146,-18.821,0.0642,141.788,0.686,1,0,22,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
00d2TpTQY2o7azuZsirncC,After You've Gone,Ruth Etting,170691,1926-11-26,1926,0.993,0.495,0.124,0.0,0.179,-10.25,0.038,88.186,0.449,1,5,20,False,torch song
36VwDHLYuLAn1QrC7sMjOD,I Want a Good Man,Annette Hanshaw,169293,1926-11-26,1926,0.995,0.645,0.161,3.6e-05,0.349,-9.263,0.0826,81.593,0.795,1,4,30,False,torch song
4ug7uGJNwCeBzOELROZdCC,I Can't Dance I Got Ants in My Pants,Chick Webb,180760,1926-12-17,1926,0.843,0.605,0.368,0.137,0.0944,-10.744,0.33,202.9,0.77,1,1,35,False,"big band, dixieland, harlem renaissance, jazz blues, jazz drums, swing, vintage jazz"
7bqaKsfrVZtHOoaV78i7N9,"Ain't Misbehavin' - (from the musical comedy ""Connie's Hot Chocolates"")",Fats Waller,180320,1926,1926,0.991,0.562,0.179,0.793,0.101,-16.708,0.049,166.007,0.542,1,0,15,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
78zrVxlXxHqpAyaVUzB8c0,I've Got a Feeling I'm Falling,Annette Hanshaw,175666,1926-11-26,1926,0.983,0.66,0.295,4.87e-06,0.111,-11.924,0.0769,84.728,0.744,0,9,26,False,torch song
3veD4az27OBePWT6UYW2vI,It All Belongs to Me,Ruth Etting,169640,1926-11-26,1926,0.992,0.587,0.159,1.59e-06,0.167,-11.457,0.117,169.648,0.688,1,8,25,False,torch song
7qd7lA9LjnUJsawEql0m0J,It's A Sin To Tell A Lie,Fats Waller,173920,1926,1926,0.645,0.821,0.297,0.154,0.261,-15.573,0.0723,113.539,0.792,1,0,26,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
13TraOxK20q9Trcw6MZZBY,It All Depends on You,Ruth Etting,180440,1926-11-26,1926,0.995,0.615,0.0416,5.28e-05,0.115,-15.144,0.066,181.392,0.458,1,7,26,False,torch song
2TZosTfMOrGt0Mv5cvJY5U,Daddy Won't You Please Come Home,Annette Hanshaw,178440,1926-11-26,1926,0.975,0.654,0.253,0.0,0.197,-10.531,0.0505,135.967,0.717,1,7,27,False,torch song
6pXovRXvSN6jZdmpeNsbv1,Sail Away Lady - 2020 Remaster,Uncle Bunt Stephens,178364,1926,1926,0.973,0.467,0.425,0.828,0.43,-10.594,0.0517,125.385,0.764,1,2,20,False,"traditional folk, vintage country folk"
3ErYLaztJ6sTYBbpO7rU82,You're the Cream in My Coffee,Annette Hanshaw,179168,1926-11-26,1926,0.993,0.501,0.129,0.0,0.141,-14.791,0.0474,143.065,0.482,0,7,26,False,torch song
0eInL1bLAFdHJDL04R0OCP,Two Sleepy People,Fats Waller,183560,1926,1926,0.725,0.651,0.0867,6.54e-05,0.169,-18.882,0.048,87.221,0.54,1,5,42,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
0sC7L64J9vnhojMN45aK0S,A Hopeless Love Affair,Fats Waller,192706,1926,1926,0.976,0.672,0.0427,0.00139,0.113,-24.487,0.0418,91.043,0.386,0,0,9,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
3CJ754Sjdp7rlbtCUSjrVK,Happy Days Are Here Again,Annette Hanshaw,191013,1926-11-26,1926,0.993,0.806,0.292,1.27e-05,0.245,-9.25,0.0516,132.951,0.877,1,0,22,False,torch song
5nvRa7XTODdrFqGsuTcAjI,I Can't Give You Anything but Love,Fats Waller,176040,1926,1926,0.891,0.651,0.0453,0.0,0.145,-23.104,0.0757,95.157,0.427,0,5,30,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
00WwIdBVbLYRNbDpA4n9I5,Ain't Nothin' To It,Fats Waller,190400,1926,1926,0.912,0.645,0.285,0.000108,0.104,-14.223,0.121,129.422,0.64,0,0,8,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
6a8fxzppB3KdUpzKdpgUyf,Would You Like to Take a Walk,Annette Hanshaw,221546,1926-11-26,1926,0.975,0.706,0.272,2.83e-05,0.223,-7.655,0.0383,115.56,0.549,1,6,21,False,torch song
2ASr0qCEQ1wnrcd8lkCsfA,Lovable and Sweet,Annette Hanshaw,177093,1926-11-26,1926,0.971,0.613,0.249,1.23e-05,0.0763,-13.323,0.107,175.758,0.858,1,7,16,False,torch song
5FzgkVitiLFdKZcxiMXclD,A Good Man Is Hard to Find,Fats Waller,183600,1926,1926,0.912,0.668,0.22,0.0205,0.219,-16.153,0.0639,148.905,0.786,1,0,8,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
1rHLZDAI3KYUB0PFxMkqQL,African Ripples,Fats Waller,188066,1926,1926,0.987,0.495,0.144,0.857,0.103,-19.035,0.0428,94.608,0.316,1,2,8,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
4mJzWh6xcuUmGFz5WCZcOl,What Wouldn't I Do for That Man,Annette Hanshaw,169040,1926-11-26,1926,0.995,0.594,0.108,0.0,0.112,-13.601,0.0437,96.612,0.421,0,8,21,False,torch song
3mDeRaFlw6ZX53d77cOB3c,A Drunkard's Child,Jimmie Rodgers,199173,1926,1926,0.975,0.583,0.383,0.0,0.188,-4.458,0.0272,145.149,0.493,1,7,6,False,"traditional country, western swing, yodeling"
6Vw36ulugRNxkEVIrqJyT8,Little White Lies,Annette Hanshaw,179253,1926-11-26,1926,0.985,0.473,0.247,1.13e-05,0.114,-8.319,0.0351,119.753,0.487,1,0,23,False,torch song
155nF2xARajWKFzkC9CFZe,Ten Cents a Dance,Ruth Etting,195440,1926-11-26,1926,0.971,0.539,0.0879,1.09e-05,0.0731,-13.599,0.0593,173.758,0.453,1,0,22,False,torch song
5Dp0YfR5ygkhdoB0rmLlFZ,Wasting My Love on You,Annette Hanshaw,197253,1926-11-26,1926,0.976,0.517,0.137,0.0,0.159,-11.404,0.0841,51.528,0.609,0,10,24,False,torch song
5pYWNge6xtzTmqOexSb1fa,Alligator Crawl,Louis Armstrong,181066,1926,1926,0.941,0.697,0.186,0.846,0.0772,-9.133,0.0928,104.555,0.715,1,5,7,False,"adult standards, dixieland, harlem renaissance, jazz trumpet, lounge, new orleans jazz, soul, swing, vocal jazz"
3qaDdnyJPvQgrAIbSQPi2z,Anita,Fats Waller,192720,1926,1926,0.761,0.754,0.228,0.000321,0.211,-17.338,0.0609,126.515,0.75,1,2,7,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
2wS7EbPn6ZeqDeFvZ835WP,Carolina Moon,Annette Hanshaw,176093,1926-11-26,1926,0.987,0.67,0.118,0.0164,0.231,-16.051,0.0326,102.401,0.535,1,0,21,False,torch song
5YZpAH2jWtOOvbe1jv936Q,I'm Gonna Sit Right Down and Write Myself a Letter,Fats Waller,209133,1926,1926,0.917,0.778,0.101,0.00199,0.147,-20.193,0.0548,115.347,0.67,1,0,26,False,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz"
5QM4Zec7x0wfbVjqwXoNva,Midnite in a Madhouse (Alternate Take),Chick Webb,156346,1926-12-17,1926,0.957,0.648,0.553,0.914,0.109,-8.496,0.0406,99.988,0.768,0,7,19,False,"big band, dixieland, harlem renaissance, jazz blues, jazz drums, swing, vintage jazz"
1PYWjwPe3e5opZffxx7I1H,March Winds and April Showers,Ruth Etting,156173,1926-11-26,1926,0.994,0.58,0.21,2.81e-05,0.3,-7.318,0.0483,138.623,0.451,0,9,22,False,torch song
