id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",Pink Floyd,238746,1979-11-30,1979,0.0782,0.693,0.394,0.000694,0.247,-15.882,0.0428,104.114,0.721,1,0,75,False,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
7rWgGyRK7RAqAAXy4bLft9,Angeleyes,ABBA,260893,1979,1979,0.523,0.719,0.922,0.000163,0.0867,-6.091,0.0338,133.113,0.964,1,11,70,False,"europop, swedish pop"
2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,245200,1979-01-01,1979,0.107,0.633,0.357,0.0,0.133,-9.366,0.0264,104.938,0.672,0,5,78,False,"disco, mellow gold, soft rock"
3cfnGXJ9bmiWvFqEO6ff8B,After the Love Has Gone,"Earth, Wind & Fire",278040,1979-06,1979,0.532,0.424,0.443,0.000389,0.673,-13.45,0.0382,131.675,0.391,1,6,66,False,"disco, funk, jazz funk, motown, soul"
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,208400,1979-07-27,1979,0.061,0.574,0.913,0.00158,0.156,-4.793,0.133,115.728,0.423,0,6,84,False,"australian rock, hard rock, rock"
7K6xMPtAjTuLPNlJMLf5bS,"Another Brick in the Wall, Pt. 1",Pink Floyd,192145,1979-11-30,1979,0.937,0.613,0.0457,0.642,0.0991,-26.398,0.0337,99.524,0.093,1,0,63,False,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
5hhVpGIBlqAU5yJEOmrk5o,All My Love - Remaster,Led Zeppelin,353720,1979-08-15,1979,0.113,0.554,0.791,1.76e-05,0.166,-8.326,0.0288,91.108,0.697,1,7,63,False,"album rock, classic rock, hard rock, rock"
3vkQ5DAB1qQMYO4Mr9zJN6,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,292613,1979,1979,0.02,0.749,0.491,0.00899,0.159,-9.655,0.0403,119.528,0.536,1,10,81,False,"europop, swedish pop"
49slT7gVW0zj1KIG8w6DoL,A Message to You Rudy - 2015 Remaster,The Specials,172920,1979-11-01,1979,0.105,0.903,0.452,5.18e-05,0.27,-8.491,0.0505,102.742,0.969,1,0,64,False,"britpop, new wave, punk, ska, ska revival"
3mRM4NM8iO7UBqrSigCQFH,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,285373,1979-01-01,1979,0.032,0.703,0.827,0.00636,0.179,-7.179,0.0343,103.564,0.944,0,10,77,False,"disco, mellow gold, soft rock"
2qmHhaOmlcKDeGfipGhF1j,Africa Unite,Bob Marley & The Wailers,175626,1979-10-02,1979,0.191,0.904,0.431,0.00179,0.0928,-10.14,0.116,127.57,0.751,0,11,63,False,"reggae, roots reggae"
6UXXeFqMBGiqjkzQzkMT3E,Tragedy,Bee Gees,303333,1979-02-05,1979,0.0871,0.665,0.532,0.00993,0.296,-10.792,0.0278,117.954,0.825,0,11,70,False,"disco, mellow gold, soft rock"
