id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
77dcKrzRUI02XjHd2okARp,A Country Boy Can Survive,"Hank Williams, Jr.",255000,1981-08-01,1981,0.144,0.688,0.459,0.0,0.0816,-9.353,0.0365,75.184,0.493,1.0,7.0,65,False,"country, country rock, outlaw country"
3L7RtEcu1Hw3OXrpnthngx,Don't You Want Me,The Human League,236920,1981,1981,0.184,0.731,0.738,0.0,0.214,-8.125,0.0377,117.656,0.958,0.0,9.0,77,False,"new romantic, new wave, new wave pop, permanent wave, sophisti-pop, synthpop"
19P4fwkPhE6yVAXApFWDoF,A Life of Illusion,Joe Walsh,210533,1981,1981,0.0407,0.692,0.613,0.0652,0.094,-10.735,0.0282,120.901,0.93,1.0,2.0,59,False,"album rock, blues rock, classic rock, country rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, southern rock"
11y8GSP2ASv8S9n0FiiDva,Angel Of The Morning,Juice Newton,250440,1981-01-01,1981,0.433,0.452,0.313,2.6e-05,0.0772,-9.309,0.026,75.806,0.344,1.0,8.0,65,False,"classic country pop, country dawn, soft rock"
2F5lTjxNzxoVP0jRxLSN9Z,All My Rowdy Friends (Have Settled Down),"Hank Williams, Jr.",240373,1981-08-01,1981,0.23,0.711,0.542,5.2e-06,0.28,-10.319,0.0287,127.002,0.813,1.0,0.0,57,False,"country, country rock, outlaw country"
0hTao6s03MkTStWfxAmnGk,Así No Te Amará Jamás,Amanda Miguel,171486,1981-01-01,1981,0.538,0.658,0.843,0.0,0.0669,-4.158,0.0583,130.697,0.547,0.0,3.0,70,False,"latin pop, ranchera"
41dDygR3r7e926oGUXfrLt,I Can't Go for That (No Can Do),Daryl Hall & John Oates,307306,1981,1981,0.0405,0.889,0.441,0.000788,0.038,-9.506,0.0379,110.565,0.963,0.0,0.0,65,False,"album rock, classic rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
7tSZJ9iI3634Sqtd6Uvl49,Are the Good Times Really Over (I Wish a Buck Was Still Silver),Merle Haggard,253293,1981,1981,0.808,0.616,0.217,0.000109,0.122,-15.439,0.0335,130.613,0.141,1.0,0.0,52,False,"bakersfield sound, country, country rock, nashville sound, outlaw country"
1xQE0QHrmJUQweLoMB0ZWC,Amoeba,Adolescents,186626,1981,1981,7.97e-05,0.231,0.962,0.00175,0.803,-7.341,0.0753,189.29,0.534,1.0,4.0,54,False,"hardcore punk, punk"
18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,Phil Collins,336453,1981-01-01,1981,0.551,0.446,0.239,4.1e-06,0.0697,-13.945,0.0316,189.507,0.298,1.0,0.0,78,False,"rock drums, soft rock"
3ZZq9396zv8pcn5GYVhxUi,Down Under,Men At Work,222320,1981-11-09,1981,0.129,0.739,0.459,0.0194,0.0474,-14.42,0.0294,107.115,0.892,0.0,11.0,80,False,"album rock, australian rock, classic rock, hard rock, mellow gold, new romantic, new wave, new wave pop, rock, soft rock"
4gFVTfg1EFuuXJguJe1Z7W,A House Is Not a Home,Luther Vandross,427693,1981-07-23,1981,0.665,0.374,0.236,0.000177,0.247,-15.565,0.0317,105.898,0.0772,1.0,5.0,52,False,"quiet storm, soul"
29vqBtjJTBLS1f8dKJS4Ht,Open Arms (2022 Remaster),Journey,199320,1981-07-17,1981,0.619,0.434,0.237,0.0,0.124,-9.933,0.0271,100.875,0.151,1.0,2.0,68,False,"album rock, classic rock, hard rock, mellow gold, rock, soft rock"
4UCkX8nrBlpxjrrEqtb46a,Apache,The Sugarhill Gang,373293,1981,1981,0.332,0.827,0.928,0.0,0.0576,-7.266,0.133,115.023,0.261,1.0,7.0,48,False,"east coast hip hop, funk, new jersey rap, old school hip hop"
17lu4tymfnhmcIDlzBbtAb,For Those About to Rock (We Salute You),AC/DC,344240,1981-11-23,1981,0.000376,0.37,0.919,0.419,0.49,-5.721,0.102,134.021,0.471,1.0,4.0,66,False,"australian rock, hard rock, rock"
2o1Deu2r99ZkkQwQ27LnZd,Arabian Knights,Siouxsie and the Banshees,185946,1981,1981,0.00144,0.429,0.852,0.0132,0.659,-7.666,0.0467,128.486,0.384,0.0,4.0,53,False,"alternative rock, dream pop, new romantic, new wave, post-punk, punk, uk post-punk"
2OECBjmrt1tupVdg8jcfE1,A Woman In Love (It's Not Me),Tom Petty and the Heartbreakers,259773,1981-05-05,1981,0.0193,0.564,0.583,3.31e-05,0.816,-6.999,0.0369,126.505,0.557,1.0,9.0,47,False,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock"
2OgVsp77En2nju8pnCieVU,Waiting for a Girl like You,Foreigner,292066,1981,1981,0.31,0.33,0.469,2.3e-06,0.0402,-9.286,0.0335,201.327,0.433,0.0,10.0,73,False,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock"
3koCCeSaVUyrRo3N2gHrd8,Let's Groove,"Earth, Wind & Fire",339320,1981-11-14,1981,0.121,0.869,0.648,2.17e-05,0.126,-8.698,0.0633,125.035,0.9,0.0,11.0,77,False,"disco, funk, jazz funk, motown, soul"
