id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
3Fwe3XoPOiyWUPYdBKMTqV,Around the Fur,Deftones,211733,1997-10-27,1997,1.94e-05,0.449,0.87,0.0411,0.0797,-4.241,0.112,79.952,0.229,0.0,5.0,67,True,"alternative metal, nu metal, rap metal, rock, sacramento indie"
2skmOCFU64Bg7Ytkgwliwe,All For You,Sister Hazel,218706,1997-01-01,1997,0.0316,0.633,0.754,2.49e-05,0.091,-6.497,0.0382,137.049,0.641,1.0,8.0,64,False,"neo mellow, pop rock, post-grunge"
1pKYYY0dkg23sQQXi0Q5zN,Around the World,Daft Punk,429533,1997-01-17,1997,0.00356,0.956,0.795,0.889,0.0906,-5.311,0.15,121.294,0.841,1.0,7.0,72,False,"electro, filter house, rock"
5GorFaKkP2mLREQvhSblIg,All My Life,K-Ci & JoJo,331240,1997-01-01,1997,0.114,0.634,0.512,3.91e-06,0.0588,-8.651,0.0285,128.019,0.193,1.0,1.0,69,False,"contemporary r&b, r&b, urban contemporary"
0b72rOmkspR8dJHsUjaVi4,"A Mí, ¿Qué Me Quedó?",Los Invasores De Nuevo León,161493,1997-01-01,1997,0.046,0.736,0.445,0.0,0.0719,-11.756,0.0661,160.147,0.87,0.0,11.0,70,False,"banda, musica mexicana, norteno"
4Uiw0Sl9yskBaC6P4DcdVD,Be Quiet and Drive (Far Away),Deftones,299866,1997-10-27,1997,9.91e-06,0.206,0.965,0.827,0.367,-5.116,0.079,92.615,0.168,1.0,1.0,76,False,"alternative metal, nu metal, rap metal, rock, sacramento indie"
5ZrDlcxIDZyjOzHdYW1ydr,Barbie Girl,Aqua,197960,1997-01-01,1997,0.017,0.812,0.879,0.224,0.365,-10.998,0.0397,129.991,0.962,0.0,1.0,76,False,"bubblegum dance, eurodance, europop"
1aMafyDbpEw3a8FrVhwRlg,Angeles,Elliott Smith,176826,1997-02-25,1997,0.859,0.53,0.0993,0.197,0.153,-23.548,0.0549,118.139,0.588,0.0,4.0,59,False,"alternative rock, indie rock, melancholia, singer-songwriter"
6PViGgcsQhLPSkMxgoRWLl,Anniversary,Tony! Toni! Toné!,271200,1997-01-01,1997,0.0478,0.708,0.505,0.0,0.317,-9.675,0.0352,88.967,0.548,0.0,3.0,58,False,"contemporary r&b, new jack swing, r&b, urban contemporary"
1158ckiB5S4cpsdYHDB9IF,My Own Summer (Shove It),Deftones,214760,1997-10-27,1997,1.33e-05,0.443,0.781,0.205,0.166,-4.277,0.0377,71.841,0.372,1.0,1.0,77,False,"alternative metal, nu metal, rap metal, rock, sacramento indie"
6kQYMqjobmB8MkWwa9OUyA,Amiga mía,Alejandro Sanz,290973,1997,1997,0.519,0.629,0.703,0.0,0.11,-4.875,0.0504,144.016,0.402,1.0,2.0,73,False,"cantautor, latin arena pop, latin pop, mexican pop"
717oSBYrcR8awQgUsmyE32,All I Want,The Offspring,114666,1997-02-04,1997,0.01,0.205,0.973,0.0,0.393,-3.389,0.124,172.689,0.565,0.0,6.0,65,False,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk"
3UGNdLrhhsK0SY9gNqe8TT,All The Things (Your Man Won't Do),Joe,380533,1997-09-23,1997,0.247,0.573,0.679,0.0,0.321,-6.774,0.0423,66.215,0.648,0.0,3.0,58,False,"contemporary r&b, r&b, urban contemporary"
3xZMPZQYETEn4hjor3TR1A,Angel,Sarah McLachlan,270400,1997-09-01,1997,0.949,0.532,0.0744,1.22e-05,0.106,-16.092,0.0355,117.131,0.125,1.0,1.0,65,False,"canadian pop, canadian singer-songwriter, ectofolk, lilith, permanent wave, pop rock"
2jAn0rAOyLW6hIEuIDNcoT,Appletree,Erykah Badu,265373,1997-01-01,1997,0.0798,0.874,0.45,8.84e-05,0.0722,-10.525,0.0685,94.863,0.619,1.0,7.0,61,False,"afrofuturism, alternative r&b, neo soul, r&b"
7c378mlmubSu7NGkLFa4sN,Airbag,Radiohead,287880,1997-05-28,1997,0.00786,0.305,0.872,0.8,0.261,-7.313,0.0503,167.959,0.648,1.0,2.0,61,False,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
2gQ3lDcFYa3yFOkaw8PtuO,Anytime,Brian McKnight,273438,1997-01-01,1997,0.0188,0.747,0.44,0.000817,0.0397,-8.463,0.0314,129.834,0.507,1.0,6.0,52,False,"contemporary r&b, quiet storm, r&b, urban contemporary"
64Eug7tFE4KWJNQUE73BGe,A Star Is Born,"Cheryl Freeman, LaChanze, Vaneese Thomas, Lillias White, Roz Ryan, Disney",124200,1997-01-01,1997,0.382,0.681,0.833,5.59e-06,0.391,-6.248,0.0849,117.54,0.726,1.0,0.0,56,False,movie tunes
6A28sLdLOf9vohN5LVl5KR,All Shook Up,Elvis Presley,117360,1997-07-15,1997,0.89,0.688,0.468,0.000134,0.177,-12.503,0.15,74.832,0.946,1.0,10.0,61,False,"rock-and-roll, rockabilly"
1M2nd8jNUkkwrc1dgBPTJz,Angels,Robbie Williams,265000,1997-01-01,1997,0.156,0.429,0.594,4.95e-06,0.1,-6.251,0.0277,150.22,0.236,1.0,4.0,74,False,"dance rock, europop, talent show"
4cLdpErILMO8Db8pQVAVcZ,Mascara,Deftones,225293,1997-10-27,1997,0.00273,0.472,0.446,0.0606,0.091,-7.416,0.0354,77.562,0.0456,0.0,5.0,73,False,"alternative metal, nu metal, rap metal, rock, sacramento indie"
2oeULFTIWZjdHDbapvJxAa,Are U Still Down?,Jon B.,266600,1997-09-16,1997,0.0144,0.723,0.534,1.85e-05,0.185,-8.621,0.0576,91.068,0.417,0.0,4.0,52,False,"contemporary r&b, r&b, urban contemporary"
29bQPrp6BT0w3kaXTqIo8A,"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",Julie Andrews,249040,1997-01-01,1997,0.743,0.48,0.39,1.75e-05,0.137,-14.253,0.149,110.7,0.642,1.0,5.0,55,False,"hollywood, movie tunes, show tunes"
5BnFZLH99sYav2cxJFGO2n,Gone Away - 1997,The Offspring,268826,1997-02-04,1997,0.012,0.45,0.945,0.00687,0.0683,-3.995,0.0806,111.342,0.294,1.0,3.0,69,False,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk"
4yBocB472ltALbHjm4qYYC,Adrenaline Rush,Twista,223466,1997,1997,0.0971,0.617,0.884,1.2e-05,0.111,-6.739,0.0672,129.435,0.346,0.0,7.0,51,True,"chicago rap, dirty south rap, gangster rap, trap"
4MTHIKGWNTBoubzDMkXFfa,I Can Love You,"Mary J. Blige, Lil' Kim",286400,1997-01-01,1997,0.0179,0.635,0.614,0.000201,0.415,-7.165,0.197,174.213,0.736,1.0,7.0,62,False,"dance pop, hip pop, neo soul, r&b, urban contemporary"
0nqjaaZQtY9fgl1M9qjssn,A Broken Wing,Martina McBride,215600,1997-08-26,1997,0.273,0.433,0.478,0.0,0.333,-7.378,0.0369,199.785,0.219,1.0,11.0,50,False,"contemporary country, country, country dawn, country road"
7hg9DGPDztq8fjIr2YweZb,Alameda,Elliott Smith,223400,1997-02-25,1997,0.438,0.596,0.417,0.0352,0.0882,-12.042,0.0294,78.492,0.334,1.0,3.0,49,False,"alternative rock, indie rock, melancholia, singer-songwriter"
6FuJokk9FHx0E00SZ8ib8X,A Song For Mama,Boyz II Men,303373,1997-03-23,1997,0.467,0.569,0.44,0.0,0.143,-8.948,0.0349,75.001,0.148,1.0,7.0,49,False,"boy band, contemporary r&b, new jack swing, r&b, urban contemporary"
04WZrScUUzNGXExDtUrQe5,Acepto Mi Derrota,El Poder Del Norte,209293,1997-01-01,1997,0.488,0.48,0.68,0.0,0.0595,-7.509,0.303,178.206,0.851,1.0,9.0,56,False,"banda, musica mexicana, norteno, tejano"
7xdLNxZCtY68x5MAOBEmBq,All Along the Watchtower,Jimi Hendrix,238626,1997-09-16,1997,0.00282,0.429,0.812,2.44e-05,0.0882,-6.252,0.0657,113.279,0.625,1.0,8.0,53,False,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
3lO4Z6BSp773vcovgYurHg,As Time Goes By,Billie Holiday,194573,1997-01-28,1997,0.988,0.591,0.0252,1.23e-05,0.0995,-15.214,0.0465,69.382,0.347,0.0,4.0,56,False,"adult standards, harlem renaissance, jazz, jazz blues, soul, swing, torch song, vocal jazz"
