id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,171291,2024-04-12,2024,0.0633,0.722,0.709,0.0,0.0804,-4.95,0.0273,81.012,0.604,1.0,9.0,90,True,"modern country pop, pop rap"
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,210950,2024-05-16,2024,0.00877,0.487,0.658,0.00777,0.1,-9.973,0.0296,142.18,0.282,1.0,5.0,86,False,"contemporary country, country"
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,171782,2024-02-16,2024,0.464,0.756,0.672,3.37e-06,0.108,-6.743,0.0522,114.935,0.739,1.0,0.0,91,True,
19RybK6XDbAVpcdxSbZL1o,Apple,Charli xcx,151739,2024-06-07,2024,0.125,0.804,0.957,0.0174,0.114,-5.452,0.034,126.035,0.962,1.0,0.0,89,False,"art pop, candy pop, metropopolis, pop, uk pop"
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,171291,2024-05-31,2024,0.072,0.722,0.706,0.0,0.067,-4.857,0.0292,80.969,0.599,1.0,9.0,87,True,"modern country pop, pop rap"
2cZOYofOX4d6g0OXxkaIjA,ALL RED,Playboi Carti,148053,2024-09-13,2024,0.109,0.76,0.663,0.0,0.305,-4.763,0.0551,143.082,0.209,0.0,9.0,89,True,"atl hip hop, plugg, pluggnb, rage rap, rap"
5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",161655,2024-06-28,2024,0.00526,0.741,0.754,8.21e-06,0.125,-5.412,0.0327,126.98,0.717,0.0,11.0,91,False,"alternative r&b, persian electronic"
36wAwEkSDpNQ4oQeRLYC3L,Am I Okay?,Megan Moroney,235002,2024-07-12,2024,0.02,0.593,0.734,0.0,0.138,-5.416,0.0514,125.937,0.518,1.0,9.0,77,False,"contemporary country, modern country pop"
3c9EsIo34kil8Oj1reaozB,American Nights,Zach Bryan,218933,2024-07-04,2024,0.0309,0.57,0.678,9.92e-06,0.104,-5.629,0.0598,137.581,0.358,1.0,6.0,78,False,classic oklahoma country
1YhTK4LOmqLusIf4tPwtW5,A Cigarette,Gavin Adcock,179900,2024-08-02,2024,0.859,0.612,0.148,1.84e-06,0.129,-11.947,0.0284,135.935,0.21,1.0,7.0,73,False,modern country pop
5ZUIPLoTLJZrPQh2kFZEUM,Addicted,"Zerb, The Chainsmokers, Ink",152250,2024-03-29,2024,0.0245,0.771,0.741,0.000163,0.111,-7.132,0.0374,120.064,0.19,0.0,5.0,84,True,pop dance
0LZy30mVmxqUpdQmaXKXBd,ADIVINO,"Myke Towers, Bad Bunny",278644,2024-04-25,2024,0.169,0.786,0.854,2.39e-05,0.106,-2.4,0.0741,117.994,0.522,0.0,10.0,84,True,"reggaeton, trap latino, urbano latino"
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",251667,2024-08-16,2024,0.308,0.521,0.592,0.0,0.122,-7.777,0.0304,157.969,0.535,0.0,6.0,99,False,"art pop, dance pop, pop"
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,210373,2024-05-17,2024,0.2,0.747,0.507,0.0608,0.117,-10.171,0.0358,104.978,0.438,1.0,2.0,100,False,"art pop, pop"
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,218004,2024-04-18,2024,0.123,0.701,0.751,0.0,0.15,-8.39,0.0502,129.994,0.22,1.0,0.0,86,True,pop
6zpL5ceKCUy7dipRdWjVtA,I Can Do It With a Broken Heart,Taylor Swift,218004,2024-09-13,2024,0.152,0.701,0.751,0.0,0.134,-8.112,0.0575,129.938,0.238,1.0,0.0,55,True,pop
